Product_Name,Appellation,Rating,Price
Medlock Ames 2021 Burning Daylight Sauvignon Blanc (Alexander Valley),Sonoma,93,$55
Château la Couspaude 2019  Saint-Émilion,Bordeaux,93,$95
Château la Couspaude 2020  Saint-Émilion,Bordeaux,93,$95
Papapietro Perry 2019 777 Clones Pinot Noir (Russian River Valley),Sonoma,93,$82
Château du Coudray Montpensier 2018 Gaudéamus Cuvée d'Excellence  (Chinon),Loire Valley,93,$35
Dutton-Goldfield 2019 Van Der Kamp Pinot Noir (Sonoma Mountain),Sonoma,93,$72
Loveblock 2021 Tee Sauvignon Blanc (Marlborough),New Zealand,93,$34
Arinzano 2016 Gran Vino Blanco Chardonnay (Navarra),Northern Spain,93,$80
Bodegas Franco-Españolas 2012 Royal Gran Reserva  (Rioja),Northern Spain,93,$72
Dossier 2021 Syrah Rosé (Columbia Valley (WA)),Columbia Valley,93,$28
Granbazán 2021 Etiqueta Ámbar Albariño (Rías Baixas),Galicia,93,$25
Boizel 2012 Grand Vintage  (Champagne),Champagne,93,$102
Hanna 2021 Chardonnay (Russian River Valley),Sonoma,93,$31
Lone Madrone 2021 Oveja White (Paso Robles Willow Creek District),Central Coast,93,$40
Riverbench 2018 Brut Rosé Sparkling (Santa Maria Valley),Central Coast,93,$48
